LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,CCmid BOM,,,TOTAL,
,,,,,,12/18/21 (20224^1),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C3 C4,4,C-C,1206X5R50V106K,MURATA@GRT31CR61H106ME01L,CAP CER 10UF 50V 20% X5R 1206,(1),0.2334,=C5*I5,CC01
2,C5 C8,2,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C6,1,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.136,=C7*I7,CC01
4,C7,1,C-C,0603X7R50V103K,MURATA@GRM1885C1H681JA01D,CAP CER 680PF 50V 5% NPO 0603,(1),0.034,=C8*I8,HT
5,C9,1,C-C,0603NPO50V471J,MURATA@GRM1885C1H471JA01D,CAP CER 470PF 50V 5% NPO 0603,(1),0.027,=C9*I9,ADPT
6,D1,D3,2,D-TVS,SMF36CA,LITTELFUSE@SMF36CA,TVS DIODE 36VWM 58.1VC SOD123F,(1),0.236,=C10*I10,CCMID
7,D2,1,D-SBR,SQ4,DIODES@SBR2A40SA,DIODE SBR 40V 2A SMA,(1),0.027,=C11*I11,CC01
8,J1,1,J-PokeIn,POK6,KYOCERA@009296006202906,CONN WIRE POKE-IN 6POS SMD RA,(1),0.723,=C12*I12,CCMID
9,K1,1,K-OPT,357,SHARP@PC357NJ0000F,OPTOISO 3.75KV TRANSISTOR 4BESOP,(1),0.538,=C13*I13,CCMID
10,L1 L2,2,L-SHLD,680,BOURNS@SRP7050TA-680M,IND 68UH 1.2A 445 MOHM SMD,(1),1.438,=C14*I14,CCMID
11,Q1 Q2 Q4,3,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C15*I15,IRRIGATE7
12,Q3 Q5,2,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C16*I16,PUNICA
13,R1,1,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C17*I17,IRRIGATE7
14,R2,1,R-C,0805KX49R9,YAGEO@RC0805FR-0749R9L,RES 49.9 OHM 1% 1/8W 0805,(1),0.0076,=C18*I18,CCMID
15,R3,1,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C19*I19,IRRIGATE7
16,R4,1,R-C,1206NX10R,YAGEO@RC1206JR-0710RL,RES 10 OHM 5% 1/4W 1206,(1),0.0193,=C20*I20,CCMID
17,R5,1,R-C,0805KX499R,YAGEO@RC0805FR-07499RL,RES 499 OHM 1% 1/8W 0805,(1),0.0025,=C21*I21,PDAQ
18,R6,1,R-C,0805KX3R3,YAGEO@RC0805FR-073R3L,RES 3.3 OHM 1% 1/8W 0805,(7),0.0339,=C22*I22,CCMID
19,R7,1,R-C,1206KX0R15YAGEO@RL1206FR-7W0R15L,RES 0.15 OHM 1% 1/2W 1206,(1),0.1604,=C23*I23,CCMID
20,U1,1,U-LINEAR,AL8862,DIODES@AL8862SP-13,IC LED MV INT SWITCH SO-8EP,(1),1.007,=C24*I24,CCMID
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) not smd and not provided with board,,,,




